precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLORIAN FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","IANCU-SĂLĂJANU DINU-PARTIDUL NAȚIONAL LIBERAL-voturi","CRIŞAN VALERIU-RADU-PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PETER TEODOR-PARTIDUL MIȘCAREA POPULARĂ-voturi","SZILÁGYI RÓBERT-ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","STANCIU GHEORGHE-PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi"
33,SĂLAJ,"AFTER SCHOOL CHECHIŞ",79,BĂLAN,140146,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",597,491,0,86,20,406,300,0,86,20,389,17,540,134,166,186,10,12,5,10
33,SĂLAJ,"AFTER SCHOOL ȘĂRMĂȘAG",288,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",834,815,0,7,12,426,407,0,7,12,417,9,918,492,18,20,1,5,369,4
33,SĂLAJ,"CAMIN CULTURAL",158,GÂLGĂU,141134,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",153,121,0,23,9,114,82,0,23,9,110,4,150,36,14,89,2,2,2,1
33,SĂLAJ,"CAMIN CULTURAL",156,GÂLGĂU,141134,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",394,370,0,18,6,235,211,0,18,6,229,6,400,165,42,158,6,18,0,5
33,SĂLAJ,"CĂMIN CULTURAL",285,ŞAMŞUD,142854,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",941,907,0,3,31,483,449,0,3,31,463,20,1028,545,11,8,1,4,439,0
33,SĂLAJ,"CĂMIN CULTURAL AGRIJ",65,AGRIJ,139937,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",836,807,1,12,16,548,520,0,12,16,514,34,880,332,201,220,17,21,3,52
33,SĂLAJ,"CAMIN CULTURAL BAN, NR. 55",84,BĂNIŞOR,140208,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",373,361,0,6,6,236,225,0,6,5,217,19,400,164,91,101,4,15,4,2
33,SĂLAJ,"CAMIN CULTURAL HOROATU CRASNEI",187,"HOROATU CRASNEI",141535,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",792,731,0,38,23,519,458,0,38,23,494,25,810,291,207,111,31,20,114,11
33,SĂLAJ,"CAMIN CULTURAL PRIA",110,CIZER,140547,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",414,325,0,88,1,287,198,0,88,1,280,7,400,113,142,116,12,6,0,4
33,SĂLAJ,"CAMIN CULTURAL SANGEORGIU DE MESES",101,BUCIUMI,140379,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",259,226,0,28,5,174,141,0,28,5,156,18,250,76,84,50,3,7,5,7
33,SĂLAJ,"CĂMIN CULTURAL VALEA LOZNEI",213,LOZNA,141884,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",172,131,0,37,4,127,86,0,37,4,121,6,155,28,17,95,5,3,1,0
33,SĂLAJ,"CAMIN CULTURAL VAR",55,"ORAŞ JIBOU",139811,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",420,412,0,8,0,232,224,0,8,0,224,8,450,218,99,68,4,47,1,5
33,SĂLAJ,"CĂMINUL CULTURAL",140,DOBRIN,140958,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",346,338,1,7,0,168,161,0,7,0,162,6,390,222,39,29,3,22,64,5
33,SĂLAJ,"CĂMINUL CULTURAL",161,GÂRBOU,141232,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",300,282,0,5,13,184,166,0,5,13,166,18,310,126,77,56,10,11,3,9
33,SĂLAJ,"CĂMINUL CULTURAL",165,GÂRBOU,141232,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",113,87,0,25,1,80,54,0,25,1,73,7,89,9,40,14,5,10,1,3
33,SĂLAJ,"CĂMINUL CULTURAL",177,HIDA,141447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",109,101,0,8,0,67,59,0,8,0,63,4,117,50,13,41,4,3,1,1
33,SĂLAJ,"CĂMINUL CULTURAL",178,HIDA,141447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",31,18,0,13,0,23,10,0,13,0,22,1,40,17,4,14,2,1,0,1
33,SĂLAJ,"CĂMINUL CULTURAL",182,HIDA,141447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",329,323,0,6,0,176,170,0,6,0,162,14,366,190,27,89,3,7,2,34
