1,20,8,2020,14404,29,1407,,0,GAUCHO-SOFT BRONCE,KALBVELOUR TOFFEE,FROTTEE OFFWHITE,DELIKA OFFWHITE,HEELGRIP OFFWHITE,CAPAMA 103,PU-SCHAUM 6 ANTHRAZIT,WILHELM SCHAUM 4 OFFWHITE,IBITECH 57 STROBELSTOFF,VA 12ML CAFFEE,YL-264 NEW MORO,RX-55_15_100 TOFFEE_BLAU_ROT,SERAFIL 0287-30,SERAFIL 0287-60,SERAFIL 0971-30,SERAFIL 0971-60,SERAFIL 1000-60,SERAFIL 2000-60,SERAFIL 1000-30,,
1,20,8,2020,14404,29,1407,,0,,0,0.104,0.017,0.019,0.0124,0.012,0.008,0.035,20,2,2,5.75,4.15,6.5,2.2,5.65,2.2,13,,
1,20,8,2020,14404,29,1407,1,120,0,0,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,240,690,498,780,264,678,264,1560,,
1,20,8,2020,14404,29,1407,13,120,0,0,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,240,690,498,780,264,678,264,1560,,
1,20,8,2020,14404,29,1407,25,120,0,0,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,240,690,498,780,264,678,264,1560,,
1,20,8,2020,14404,29,1407,37,120,0,0,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,240,690,498,780,264,678,264,1560,,
1,,,,14404,30,1407,,0,GAUCHO-SOFT SCHWARZ,FROTTEE SCHWARZ,DELIKA SCHWARZ,HEELGRIP SCHWARZ,CAPAMA 103,PU-SCHAUM 6 ANTHRAZIT,WILHELM SCHAUM 4 OFFWHITE,IBITECH 57 STROBELSTOFF,Y-012-0_12 GUN-METALL,YL-264 NEW GUN-METALL,RX-55_15_100 SCHWARZ,SERAFIL 4000-30,SERAFIL 4000-60,SERAFIL 1000-30,,,,,,,
1,,,,14404,30,1407,,0,,0.104,0.017,0.019,0.0124,0.012,0.008,0.035,20,2,2,12.25,14.2,13,,,,,,,
1,,,,14404,30,1407,49,120,0,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,240,1470,1704,1560,,,,,,,
1,,,,14404,30,1407,61,120,0,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,240,1470,1704,1560,,,,,,,
1,,,,14404,30,1407,73,120,0,12.48,2.04,2.28,1.488,1.44,0.96,4.2,2400,240,240,1470,1704,1560,,,,,,,
